,Country_Region,Date,Cases,Cases_per_Million,case_delta_days,case_percentage_x_days_increase
9,Bahrain,12/31/20,92675,56468.79181463003,3132,0.03455656817529845
10,Bahrain,1/1/21,92913,56613.81013080895,3132,0.03455656817529845
11,Bahrain,1/2/21,93184,56778.936028642944,3132,0.03455656817529845
12,Bahrain,1/3/21,93478,56958.076301569854,3132,0.03455656817529845
13,Bahrain,1/4/21,93766,57133.56065055948,3132,0.03455656817529845
0,Bangladesh,12/22/20,503501,3088.0886548441945,13428,0.026669261828675614
1,Bangladesh,12/23/20,504868,3096.4727835572894,13428,0.026669261828675614
2,Bangladesh,12/24/20,506102,3104.041192359015,13428,0.026669261828675614
3,Bangladesh,12/25/20,507265,3111.174141659183,13428,0.026669261828675614
4,Bangladesh,12/26/20,508099,3116.289257494385,13428,0.026669261828675614
5,Bangladesh,12/27/20,509148,3122.7230182990934,13428,0.026669261828675614
6,Bangladesh,12/28/20,510080,3128.439190911094,13428,0.026669261828675614
7,Bangladesh,12/29/20,511261,3135.6825383947553,13428,0.026669261828675614
8,Bangladesh,12/30/20,512496,3143.2570804288976,13428,0.026669261828675614
9,Bangladesh,12/31/20,513510,3149.476178099035,13428,0.026669261828675614
10,Bangladesh,1/1/21,514500,3155.5480781911815,13428,0.026669261828675614
11,Bangladesh,1/2/21,515184,3159.743209163937,13428,0.026669261828675614
12,Bangladesh,1/3/21,516019,3164.8644582315555,13428,0.026669261828675614
13,Bangladesh,1/4/21,516929,3170.445699730397,13428,0.026669261828675614
0,Barbados,12/22/20,327,1139.273582440554,279,0.8532110091743119
1,Barbados,12/23/20,329,1146.2416165839213,279,0.8532110091743119
2,Barbados,12/24/20,345,1201.9858897308598,279,0.8532110091743119
3,Barbados,12/25/20,347,1208.953923874227,279,0.8532110091743119
4,Barbados,12/26/20,352,1226.3740092326454,279,0.8532110091743119
5,Barbados,12/27/20,356,1240.31007751938,279,0.8532110091743119
6,Barbados,12/28/20,365,1271.6662311645327,279,0.8532110091743119
7,Barbados,12/29/20,371,1292.5703335946348,279,0.8532110091743119
8,Barbados,12/30/20,372,1296.0543506663184,279,0.8532110091743119
9,Barbados,12/31/20,383,1334.3785384548385,279,0.8532110091743119
10,Barbados,1/1/21,395,1376.1867433150423,279,0.8532110091743119
11,Barbados,1/2/21,395,1376.1867433150423,279,0.8532110091743119
12,Barbados,1/3/21,556,1937.1134918561102,279,0.8532110091743119
13,Barbados,1/4/21,606,2111.314345440293,279,0.8532110091743119
0,Belarus,12/22/20,177274,18725.75224551847,24557,0.13852567212337963
1,Belarus,12/23/20,179196,18928.776354050384,24557,0.13852567212337963
2,Belarus,12/24/20,181113,19131.272304131384,24557,0.13852567212337963
3,Belarus,12/25/20,183006,19331.233093647985,24557,0.13852567212337963
4,Belarus,12/26/20,184922,19533.6234120388,24557,0.13852567212337963
5,Belarus,12/27/20,186747,19726.401246622954,24557,0.13852567212337963
6,Belarus,12/28/20,188588,19920.86918825004,24557,0.13852567212337963
7,Belarus,12/29/20,190404,20112.696337622543,24557,0.13852567212337963
8,Belarus,12/30/20,192361,20319.417555310865,24557,0.13852567212337963
9,Belarus,12/31/20,194284,20522.547295532964,24557,0.13852567212337963
10,Belarus,1/1/21,196223,20727.36714279799,24557,0.13852567212337963
11,Belarus,1/2/21,198125,20928.27861752624,24557,0.13852567212337963
12,Belarus,1/3/21,199962,21122.324032392593,24557,0.13852567212337963
13,Belarus,1/4/21,201831,21319.749661344802,24557,0.13852567212337963
0,Belgium,12/22/20,629109,54781.08560086137,21778,0.034617212597499
1,Belgium,12/23/20,632321,55060.77774792963,21778,0.034617212597499
2,Belgium,12/24/20,634904,55285.69830081796,21778,0.034617212597499
3,Belgium,12/25/20,637246,55489.63323495055,21778,0.034617212597499
4,Belgium,12/26/20,638030,55557.9018038489,21778,0.034617212597499
5,Belgium,12/27/20,638877,55631.65623989088,21778,0.034617212597499
6,Belgium,12/28/20,639734,55706.28144849533,21778,0.034617212597499
7,Belgium,12/29/20,641411,55852.31000722306,21778,0.034617212597499
8,Belgium,12/30/20,644242,56098.82571966087,21778,0.034617212597499
9,Belgium,12/31/20,646496,56295.09785524364,21778,0.034617212597499
10,Belgium,1/1/21,648289,56451.22737569613,21778,0.034617212597499
11,Belgium,1/2/21,649169,56527.855361194284,21778,0.034617212597499
12,Belgium,1/3/21,650011,56601.17441095502,21778,0.034617212597499
13,Belgium,1/4/21,650887,56677.45408742818,21778,0.034617212597499
0,Belize,12/22/20,10257,26276.216655181335,681,0.06639368236326411
1,Belize,12/23/20,10370,26565.698226989418,681,0.06639368236326411
2,Belize,12/24/20,10490,26873.11228554667,681,0.06639368236326411
3,Belize,12/25/20,10490,26873.11228554667,681,0.06639368236326411
4,Belize,12/26/20,10490,26873.11228554667,681,0.06639368236326411
5,Belize,12/27/20,10561,27054.998936859713,681,0.06639368236326411
6,Belize,12/28/20,10591,27131.852451499028,681,0.06639368236326411
7,Belize,12/29/20,10668,27329.109805739932,681,0.06639368236326411
8,Belize,12/30/20,10724,27472.569699733318,681,0.06639368236326411
9,Belize,12/31/20,10776,27605.782458441463,681,0.06639368236326411
10,Belize,1/1/21,10776,27605.782458441463,681,0.06639368236326411
11,Belize,1/2/21,10807,27685.197756902086,681,0.06639368236326411
12,Belize,1/3/21,10901,27926.005436105268,681,0.06639368236326411
13,Belize,1/4/21,10938,28020.791437493754,681,0.06639368236326411
0,Benin,12/22/20,3167,268.3636536808994,84,0.02652352383959583
1,Benin,12/23/20,3205,271.58367857508136,84,0.02652352383959583
2,Benin,12/24/20,3205,271.58367857508136,84,0.02652352383959583
3,Benin,12/25/20,3205,271.58367857508136,84,0.02652352383959583
4,Benin,12/26/20,3205,271.58367857508136,84,0.02652352383959583
5,Benin,12/27/20,3205,271.58367857508136,84,0.02652352383959583
6,Benin,12/28/20,3205,271.58367857508136,84,0.02652352383959583
7,Benin,12/29/20,3205,271.58367857508136,84,0.02652352383959583
8,Benin,12/30/20,3251,275.4816034469858,84,0.02652352383959583
9,Benin,12/31/20,3251,275.4816034469858,84,0.02652352383959583
10,Benin,1/1/21,3251,275.4816034469858,84,0.02652352383959583
11,Benin,1/2/21,3251,275.4816034469858,84,0.02652352383959583
12,Benin,1/3/21,3251,275.4816034469858,84,0.02652352383959583
13,Benin,1/4/21,3251,275.4816034469858,84,0.02652352383959583
0,Bhutan,12/22/20,479,627.7093718712816,255,0.5323590814196242
1,Bhutan,12/23/20,519,680.1276910254596,255,0.5323590814196242
2,Bhutan,12/24/20,519,680.1276910254596,255,0.5323590814196242
3,Bhutan,12/25/20,576,754.8237958201632,255,0.5323590814196242
