,Country_Region,Confirmed,Deaths,Recovered,Active,First_Confirmed_Case,Population,MostRecentYearHospBedInfoCollected,hosp_beds_per_1000_people,Continent,Fatality_Rate,cases_per_mil_people,deaths_per_mil_people,Recovery_Rate
43,Chad,545,56,139,350,3/19/20,15477751.0,2005,0.4,Africa,0.10275229357798166,35.21183407072513,3.6180967118543257,0.25504587155963304
44,Chile,49579,509,21507,27563,3/3/20,18729160.0,2013,2.2,South America,0.010266443453881684,2647.155558498085,27.17687285494918,0.4337925331289457
45,Colombia,16935,613,4050,12272,3/6/20,49648685.0,2014,1.5,South America,0.03619722468260998,341.09664737344,12.346751983461395,0.2391496899911426
46,Comoros,11,1,3,7,4/30/20,832322.0,2010,2.2,Africa,0.09090909090909091,13.216038984912089,1.2014580895374627,0.2727272727272727
47,Congo (Brazzaville),420,15,132,273,3/15/20,5244363.0,2005,1.6,Africa,0.03571428571428571,80.08598947098056,2.860213909677877,0.3142857142857143
48,Congo (Kinshasa),1629,61,290,1278,3/11/20,84068091.0,2006,0.8,Africa,0.0374462860650706,19.37714988675073,0.7256022977850182,0.1780233271945979
49,Costa Rica,882,10,577,295,3/6/20,4999441.0,2015,1.2,North America,0.011337868480725623,176.41972372511248,2.0002236250012753,0.6541950113378685
51,Croatia,2232,96,1967,169,2/25/20,4087843.0,2015,5.6,Europe,0.043010752688172046,546.009227849504,23.484267864494793,0.8812724014336918
52,Cuba,1887,79,1538,270,3/12/20,11338138.0,2014,5.2,North America,0.041865394806571275,166.42944370583598,6.9676343681828525,0.8150503444621092
53,Cyprus,918,17,515,386,3/9/20,1189265.0,2013,3.4,Europe,0.018518518518518517,771.9053364893442,14.29454326832119,0.5610021786492375
54,Czechia,8647,302,5726,2619,3/1/20,10629928.0,2015,6.5,Europe,0.03492540765583439,813.4580027258887,28.410352356102507,0.6621949809182376
56,Djibouti,1618,7,1033,578,3/18/20,958920.0,2014,1.4,Africa,0.004326328800988875,1687.3148959245818,7.299879030576065,0.638442521631644
57,Dominica,16,0,16,0,3/22/20,71625.0,2012,3.8,North America,0.0,223.38568935427577,0.0,1.0
58,Dominican Republic,13223,441,6613,6169,3/1/20,10627165.0,2014,1.6,North America,0.03335097935415564,1244.26410994842,41.497426642006594,0.5001134387052862
59,Ecuador,34151,2839,3457,27855,3/1/20,17084357.0,2013,1.5,South America,0.0831308014406606,1998.9631450572006,166.17540829894855,0.10122690404380545
60,Egypt,13484,659,3742,9083,2/14/20,98423595.0,2014,1.6,Africa,0.04887273805992287,136.9996696422235,6.695548968720356,0.277514090774251
61,El Salvador,1498,30,502,966,3/19/20,6420744.0,2014,1.3,North America,0.020026702269692925,233.3062959681931,4.672355726999862,0.33511348464619495
62,Equatorial Guinea,825,7,22,796,3/15/20,1308974.0,2010,2.1,Africa,0.008484848484848486,630.2646194653216,5.347699801523941,0.02666666666666667
64,Estonia,1791,64,938,789,2/27/20,1321977.0,2015,5.0,Europe,0.03573422668900056,1354.789077268364,48.412340002889614,0.5237297599106644
66,Ethiopia,365,5,120,240,3/13/20,109224559.0,2015,0.3,Africa,0.0136986301369863,3.341739287773183,0.04577725051744086,0.3287671232876712
67,Fiji,18,0,15,3,3/19/20,883483.0,2011,2.3,Oceania,0.0,20.37390645886791,0.0,0.8333333333333334
68,Finland,6399,301,5000,1098,1/29/20,5515525.0,2015,4.4,Europe,0.047038599781215815,1160.1796746456594,54.57322738995834,0.7813720893889671
69,Gabon,1502,12,318,1172,3/14/20,2119275.0,2010,6.3,Africa,0.007989347536617843,708.7329393306674,5.66231376296139,0.21171770972037285
70,Gambia,24,1,13,10,3/17/20,2280102.0,2011,1.1,Africa,0.041666666666666664,10.52584489641253,0.4385768706838554,0.5416666666666666
71,Georgia,707,12,456,239,2/26/20,3726549.0,2013,2.6,Europe,0.016973125884016973,189.7197648548295,3.2201374515671204,0.6449787835926449
72,Ghana,6096,31,1773,4292,3/14/20,29767108.0,2011,0.9,Africa,0.005085301837270341,204.78979684556523,1.041417930152973,0.29084645669291337
73,Greece,2840,165,1374,1301,2/26/20,10731726.0,2015,4.3,Europe,0.058098591549295774,264.63590292931445,15.374973233569325,0.4838028169014085
74,Grenada,22,0,14,8,3/22/20,111454.0,2014,3.7,North America,0.0,197.39085183124877,0.0,0.6363636363636364
